Tender,Difference Bid/PTE,Winner,Competitors,Legal_entity_type,Site,Capital,Pre-Tender Estimate (PTE),Bid_value,Cartel_name,Collusive_competitor,Number_bids,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST,Collusive_competitor_original
2,34.25108,0,1216530350,11,164.956008911133,100000.0,1678484.92,110358570.73,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,33.03121,0,1571070273,2,242.647994995117,11352.0,1678484.92,112406104.13,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,32.78147,0,1909430165,10,122.873001098633,11000000.0,1678484.92,112825288.95,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
2,31.73169,0,2186570160,11,130.529006958008,52000.0,1678484.92,114587328.85,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
2,32.28576,0,2462270048,11,37.8339920043945,93600.0,1678484.92,113657330.71,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
2,39.05013,0,2525270019,10,0.0,1136000.0,1678484.92,102303437.67,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,38.95646,0,2622650014,10,19.996000289917,1000000.0,1678484.92,102460661.35,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,38.34,0,2888760010,10,1.64999997615814,6000000.0,1678484.92,103495380.17,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
2,34.05164,0,3678430012,11,4.56700038909912,31200.0,1678484.92,110693327.76,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,33.16281,0,3697740011,0,0.0,50000.0,1678484.92,112185215.51,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
2,38.52242,0,3774280287,11,222.449996948242,32000.0,1678484.92,103189190.95,0,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,0
2,33.13449,0,3983950019,11,4.21600008010864,500000.0,1678484.92,112232750.2,1,0,62,0.0928,0.7131,0.016,0.1672,4.807,0.8307,0.462,1
